Name,Rating,Comments,Sentiment
liu steven, 5 stars ,"a good place for dinner with friends.  very beautiful view and can see whole Islamabad city in the night, here have good food and services is nice.  price is higher than other restaurants but it's value for money, strong suggestions to have try.....",Positive
Abu Hurrara, 5 stars ,Such a beautiful place to visit with family or friends. The weather is very lovely every time you  visit there. The way to Monal is too adventurous.,Positive
abu huraira, 5 stars ,It was a Quiet Nice place to visit. Specially the Location Is but speaking of suggestions i would like to Suggest that they can improve their ice-cream as well It's not that Tasty as their standard is,Positive
Shafaq Naz, 4 stars ,The restaurant is located at beautiful spot. You can enjoy sunset and city view at night. Fresh air and natural environment make you feel relaxed. It is little expensive but the environment where they give you food definitely cover this amount. Their BBQ are really good. You can also apply for reservations for birthdays and buffet.,Positive
Umair Zafar, 4 stars ,"Very beautiful and scenic restaurant to enjoy weather & view of Islamabad and beautiful drive. The outdoor seating was fantastic with electric heaters... Nice place to take pictures, Food is just OK, However service is good. I will go again not for the food but because of the view. Recommended.",Positive
Waqas Junaid, 5 stars ,"Perfect place to dine. Great views, good food and excellent service. The Pakistani menu especially BBQ is wonderful. Continental menu is good for most part , but do check reviews before trying out items outside chef recommendation in the Italian and chinese menu.",Positive
Emmad Muhammad, 5 stars ,Lovely atmosphere and views. Food was delicious and warm. Views over Islamabad were stunning. Loved the soup and warm rotis all the food was good. Staff needs more training on customer service as the staff lack the complain handling. But management is handling them with patience. but worth to come here. Best to go in summer.we if you want to go in winter try to go during the day,Positive
Ayesha Sani, 4 stars ,This is place is amazing!!! Perfect place to hang out with your family and friends I would highly recommend the Sunday Brunch Lots of choices to eat With amazing view,Positive
All Pakistan CNG Association, 4 stars ,"Exotic location, midst of green hilly area. The driving gives pleasure to reach the restaurant. A quality restaurant with vast variety of dishes they offer. I had coffee with chocolate lava brownie in my last visit. People enjoy scenic beauty and aerial view of Islamabad city and enjoys freshly cooked food. No doubt its an amazing experience.",Positive
Ghulam Abbas, 5 stars ,"A Five-star hotel and restaurant. Neat and clean environment. They offer indoor and outdoor services. They also offer advanced booking for dinner, for individuals and also for families and corporate world's events or functions. You can also be booked for family functions like weddings and kids' birthday parties. You can also enjoy the awesome view of Islamabad city. A little bit it is expensive.",Positive
Foodie Rana, 5 stars ,"It is expensive... But I think they are charging of the ambiance, weather and view... Absolutely amazing... Food is also above average...",Neutral
ailya massey, 4 stars ,"The place is awesome to visit. The food is good but the views is what makes the dining experience absolutely fantastic. You have different sitting options available. You can sit in the open or sit in a hall. No matter where you sit, you will have the best time with your loved ones. The weekends are a bit busy and you might have to wait but the wait is worth waiting.",Positive
Imran Rahat, 4 stars ,Vary beautiful place and restaurant to enjoy weather and view of Islamabad. The seating arrangement in the hotel is very beautiful both inside and outside and services are so good with delicious food.,Positive
Asfia Aiman, 5 stars ,It's the most beautiful place with a spectacular view of mountains and trees all around. You can sit both indoor and outdoor. The food was mouth watering. A large parking is available there to park your vehicle. Staff is very polite and helpful!,Positive
Akram Posh, 4 stars ,The restaurant is located at beautiful spot. You can enjoy sunset and city view at night. Fresh air and natural environment make you feel relaxed. It is little expensive but the environment where they give you food definitely cover this amount. Different Plater deal  You can also apply for reservations for birthdays and buffet.,Positive
irfan ahmed, 4 stars ,Nice place to have dinner. Excellent view of Islamabad taste of food is also good. Very crowded place so always book in time. Rates are on expensive side.,Positive
MAHAR MUHAMMAD IBRAHIM, 5 stars ,"Its a must place to visit whether you are local or foreigner. The natural beauty of this place is mesmerizing. Whether you come in day or night, summer or winter you will never regret. The only bad thing is that road is dangerous because its on height and the turns are too sharp and moreover safety road barriers are not adequate and lights are also not sufficient. So be careful while driving. Try to come in day time. Try to bring warm clothes with you in summers as well because it gets colder at night. Bring your best phone and camera to capture the breathtaking views. The Monal Restaurant is construction in a unique way so that the visitors can enjoy the mesmerizing view while having food. I have visited the restaurant multiple times and still I didn’t get enough of this. I am just in love of this beautiful place . I would be delighted if i get invited to this place once again.",Positive
Khalid Yazdani Shah, 5 stars ,Most cities around the world have iconic must visit places and for Islamabad Monal would rank at the top. Besides the awesome view of the beautiful city of Islamabad you can enjoy mouth watering cuisine along with excellent service that has made Monal famous. Although all food items are excellent its more famous for Desi food and barbecue! If you haven't been there do plan to visit it on your next trip to Islamabad... You will not be disappointed!,Positive
