Name,Rating,Comments,Sentiment
Umair Azam, 4 stars ,"Food quality is good, total hygienic food. Taste of food is nice. Staff is little bit unprofessional and rude but overall savour food is great place for quality food. Must visit this place with family this place is best for families. Highly recommended savour food lahore branch.",Positive
Ahsan Khan, 5 stars ,"The taste is on point everytime. Its6open for delivery and takeaway. The same taste you get in Rawalpindi and though some may not rate it that high, for me it's awesome. I love their chicken pulao with kabab. Packaging is really good. Even …",Positive
Hamid Bashir, 4 stars ,"food is really nice, variety of products and quality is available, ample parking for customers, ATM of UBL is also installed in savour restaurant. two stories upper story is dedicated for families. staff is helpful. fast food is also a nice addition along with ice cream. above all price is really economical comparing other options.",Positive
Haider Khan, 2 stars ,Good place no dineInn is allowed but no quality masks and hand sanitis have been seen among workers and if customers required then need to be there,Positive
AHMED MOHIB RIZWAN, 5 stars ,Amazing and outstanding experience. Food was superb. And excellent service.,Positive
Muqaddas Jamil, 5 stars ,"This place is love. Being an Islamabadi now residential ng in Lahore, I have not found an alternative to Savour foods where you get affordable, neat and clean home.like taste and quick service all in one package.",Positive
Tayyab Mughal, 5 stars ,"For the first time ever, I visited savour foods today, and ordered a plate of chicken pulao. The waiter came in a minute without letting me to wait more and being bored. There pulao was awesome. I loved it! Good management, and the dine in …",Positive
Ali Raza, 5 stars ,Totally recommend .. great taste .. place and service was great .. 550rs fried chicken burger deal was awesome ..n ROSE WATER SOFT DRINK was heavenly good.. it was a nice experience,Positive
مظفر حسین, 4 stars ,"A good food place for both middle and high class. A variety of food, tea and ice cream but ice cream is normal. Staff is also good Hygiene food Well dressed and polite staff. Wide, airy and good looking front.",Positive
asif ali, 5 stars ,"Savor Food is as good as always. A wider variety of good including fast food and ice cream, quick service, net environment, responsive staff, and good location with parking, reasonable prices: all make it a great choice. Strongly recommended.",Positive
A M Asim Kamboh, 5 stars ,"Savour Foods getting a major Share of Clients in Lahore, Because Savour is now become a brand in Food Restaurants, Lakshmi Chowk and Shama Stop Ichra 2 branches working in town, Plau with Good taste,Fast Food and Ice Cream also in reasonable price, Good parking arrangements and Family Sitting.",Positive
