Name,Rating,Comments
Sana Khalid, 4 stars ,Had the special burger. The lettuce was not fresh today but usually the food here is excellent. Polite service.
Khadijah Nasir, 5 stars ,Located in Kohsar Market which is Hub of Eateries of Islamabad. Food is delicious and service time is reasonable. Sitting options both indoor and outdoor. The welcome to the Street 1 Cafe is really warm. We wished to sit indoors and were …
Mir Aijaz Hussain Talpor, 5 stars ,Its one of best place to watch at Marri a Summer hill station city near Islamabad aardvark capital of Pakistan
Ali Kamran, 4 stars ,"Expensive but it was a good place to visit.
The finger fish was spot on, rice was seasoned perfectly.
Had a beef steak too which was well done just the way I like it. To my surprise it was also juicy.
The sides were pretty good too.
Also went for the skillet brownie which was super yummy"
Peoplive, 5 stars ,"All about street 1 cafe:
It is located in Islamabad f-6/3 at a very prime location with beautiful sitting management, cool environment, good staff behaviour and fine taste and quality.

Address:
Street 10, F-6/3 F 6/3 F-6, Islamabad, Islamabad Capital Territory 44000.

Timings:
It opens at 08:00 am and closes at 11:30 pm for seven days a week.

What it offers:
It offers dine-in, take-away and delivery.

CUISINES:
Cafe

SPECIAL DIETS:
Vegetarian Friendly, Vegan Options, Halal

MEALS:
Breakfast, Lunch, Dinner, Brunch

FEATURES:
Takeout, Reservations, Outdoor Seating, Seating, Wheelchair Accessible, Free Wifi, Table Service, Highchairs Available."
syed arif, 5 stars ,"Continental food. Beef stakes, chicken, prawns, fish. Dinner food and snacks like burgers, pizzas. Soup, salads. Food for every one . Nice ambience outside sitting. A good time to go and have lunch or dinner. Fast service, courteous staff. In kohsar Islamabad"
amina jalalzei, 5 stars ,"Great place to have breakfast with family and friends, their french toast is exquisite a must try for sure."
waqas masood, 4 stars ,"Excellent place to have breakfast, lunch or dinner. The ambience is very cool. Food is scrumptious. Desserts are delicious too. My go to place to have food and enjoy the environment any day."
Sarah Umair, 4 stars ,I have always liked this place. But this time they took really long to serve us food.its a good place to with lovely ambiance.however they can improve their taste in few things from the menu.
maryam shahid, 2 stars ,"Not so good 👎 prices are extremely high as compared to taste 😒
Taragon chicken has no taste at all👎
Cugan chicken is good but not enough
T bone beef steak 🥩 is good😋
Chicken lasagne is good in taste
Over all 5/10"
Syed Moiz Raza -USA, 5 stars ,"Great food, desserts, service and prices. Environment friendly establishment and the management avoids use of plastic straws."
Amer Akhtar, 4 stars ,They have stagnated is one way of describing the current state if things. The menu hasn't changed much over the years but then in a way its a good thing too. Why fix what's not broken?
Shabeena Shah, 5 stars ,These nutella french toast were so delicious 😋 do try them.
Zareesha Sheikh, 5 stars ,"This is Street 1 Cafe in Islamabad.
Ordered light stuff since it was super cold and didn't feel like having anything heavy for a day time meal.

We ordered Chicken with Cashewnuts with mashed potatoes sideline, Chicken Mushroom cannell, …"
Naveed Latif, 4 stars ,"A rushy place in Kohsar Market Islamabad. If the weather permits, outside seating is recommended. Tried the Tom yum soup which was below average. Beef tataki was not as thinly sliced as it should have been. Salmon was a bit overcooked but tasty."
Mian Abdur Rehman, 4 stars ,"Had dinner and breakfast as well. Avoid steaks. Try Italian dishes, they were good. Breakfast all items were much better. Deserts were great too. Service is fast but a mixed hospitality from staff."
Z S, 5 stars ,Attractive ambience with good food taste. 09/10
Daniya Bint -e-Asif, 4 stars ,"I find the taste average of main course, but damn the dessert won my heart!!"
Anum Sadiq, 5 stars ,"Located in a prime location in Islamabad, F-6 Kauser market, this place offers some great food options. Dynamite prawns, cannelloni and hit me being personal favorite.

They have recently introduced a new dessert called pull me which is …"
Mansoor Khalid, 5 stars ,Loved the taste of Belgian Chocolate and Coffee
Just A Food Lover, 2 stars ,Food is not as it should be as compared to their hefty prices. Mushroom cheese omelette was hard plus the bread was served cold and hard. And i can make better hashbrowns i swear. The stuffed French toast was literally stuffed with diabetes.. the only thing which was satisfying was the Belgium Waffles.. Not a good experience overall!!
Kamran Haneef, 5 stars ,This place offers great dine-in experience even during pandemic there were adequate precautions. Food is really good and maintains standard.
KBW 66, 3 stars ,"Street 1 Café is located at perhaps the best eating spot in Islamabad; Kohsar Market. Great ambiance overall. It has been amongst the best, however, there is some deterioration in standards that I observed in the last 3 visits. The quality of cooking in no more that outstanding and some of the waiters need better training. The fried fish that I ordered smelled a bit and wasn't cooked that well. That was unlike Street 1 Café. Despite all this, a great place to go."
Faizan Baig, 4 stars ,"Loved my visit to Steet 1 Cafe this time.
I went with 2 of my friends and we ordered Ribs from their winter menu, Khao Suey, Cream Mushroom Soup, Creme Brulee and Red King.

The Ribs were very juicy and fulfilling, it is more than enough for two people. It gets a little dry after chewing a bit and one should ask for a sauce with it.

Everything else was good value for money and very satisfying."
Zaeem Lutfi, 5 stars ,I simply love this place for ambience and food. Prices are reasonable. Bit crowded specially on weekends.
Mohammad Qamar, 4 stars ,"Had lunch on a whim at one of my favorite haunts from yesteryear. It still has a cozy, busy vibe to it. The outdoor seating is still in demand, and sidewalk traffic and hawkers from my memories were there as I remembered them to be. The level of service and food has dropped off though. TLDR: choose for the vibe, avoid for food."
rezaabbasy, 4 stars ,"I had the Mexican Omlette with Salsa and it was good. Weekends are always busy so I would suggest making reservations the day before.

They lose one star simply because when I called the restaurant to make the reservation on the phone two days before arriving, the guy on the phone was trying to avoid taking the reservation. Staff on the phone needs to be better trained"
Jeff Spicoli, 1 star ,"Just had to walk out of street cafe 1. We ordered two simple coffees and had to wait 25+ minutes without receiving them. We finally had to leave. What an absolute shame, we wanted so bad just to relax and enjoy a cup of coffee. I’m so disappointed in our experience here. Frustrated. Shocked. This was horrible."
sabeera hussain, 5 stars ,Brilliant menu and nice outdoor seating area. Great place for brunch
Aamir Ali, 4 stars ,"Average environment. Average food quality.
Not bad ."
Junaid Effendi, 5 stars ,"Had breakfast, it was great experience. Outdoor ambiance on top."
Khayam Abbasi, 5 stars ,"Never ever order Tum Kom Yo (Thai soup 🤮), do try their high Tea. Over all ambience is really good 👌👌👌"
Amer Zafar Durrani, 4 stars ,I keep saying but they don't listen; change your cutlery! It is horrible. Otherwise they are cool coffee place but need to improve the quality of their coffee as well.
Imran Khan khattak, 5 stars ,A great variety of beverages 👍
Dr Bubrak Amin Gandapur, 5 stars ,Delicious food with really good environment and ambience
Rai Arham Ehtisham, 5 stars ,Pricy but quality is top notch.
